Ukraine Exports y Country,Value,
China,7.12,7120000000
Poland,3.28,3280000000
Russia,2.71,2710000000
Turkey,2.44,2440000000
Germany,2.07,2070000000
India,1.97,1970000000
Italy,1.93,1930000000
Netherlands,1.81,1810000000
Egypt,1.62,1620000000
Belarus,1.34,1340000000
Hungary,1.26,1260000000
Spain,1.25,1250000000
Romania,1.08,1080000000
United States,988.39,988390000
Czech Republic,826.69,826690000
Indonesia,735.63,735630000
Saudi Arabia,709.94,709940000
Moldova,680,680000000
United ingdom,667.35,667350000
France,599.01,599010000
Iraq,597.89,597890000
Austria,580.31,580310000
Israel,563.5,563500000
Belgium,561.18,561180000
Bulgaria,511.87,511870000
United Arab Emirates,450.99,450990000
Slovakia,446.65,446650000
Lithuania,432.12,432120000
Tunisia,414.82,414820000
Morocco,372.97,372970000
Georgia,365.77,365770000
angladesh,358.21,358210000
Algeria,352.53,352530000
South orea,351.52,351520000
Azerbaijan,347.54,347540000
Kazakhstan,336.98,336980000
Pakistan,331.2,331200000
Libya,328.22,328220000
Lebanon,327.23,327230000
Uzbekistan,296,296000000
Iran,258.84,258840000
Portugal,233.97,233970000
Latvia,229.44,229440000
Denmark,217.05,217050000
Vietnam,184.26,184260000
Japan,183.66,183660000
Malaysia,181.09,181090000
Jordan,181.08,181080000
Greece,178.88,178880000
Yemen,172.72,172720000
Philippines,169.9,169900000
Thailand,164.52,164520000
Switzerland,142.85,142850000
Ethiopia,140.09,140090000
Serbia,136.66,136660000
Qatar,131.61,131610000
Singapore,123.1,123100000
Armenia,112.47,112470000
Estonia,110.82,110820000
Ireland,94.37,94370000
Oman,85.47,85470000
Dominican Republic,84.46,84460000
Senegal,82.53,82530000
Ghana,81.55,81550000
Canada,81.4,81400000
Macedonia,80.75,80750000
Kenya,77.95,77950000
Costa Rica,74.25,74250000
Sweden,72.51,72510000
Hong ong,71.19,71190000
Nigeria,69.32,69320000
Mexico,69.31,69310000
Sudan,65.87,65870000
Brazil,64.26,64260000
Turkmenistan,57.3,57300000
Finland,54.58,54580000
Peru,52.52,52520000
Cameroon,51.87,51870000
Kyrgyzstan,43.03,43030000
Australia,42.45,42450000
Ivory Coast,42.42,42420000
Mauritania,42.17,42170000
Slovenia,40.29,40290000
yanmar,38.53,38530000
uwait,36.34,36340000
Sri Lanka,35.6,35600000
Tanzania,34.83,34830000
Cyprus,31.82,31820000
South Africa,30.11,30110000
Albania,29.8,29800000
Colombia,29.67,29670000
Croatia,29.6,29600000
ozambique,27.15,27150000
Norway,27.02,27020000
Palestine,26.21,26210000
Tajikistan,24.12,24120000
ongolia,23.12,23120000
Nepal,22.99,22990000
Djibouti,22.08,22080000
Gambia,20.5,20500000
Somalia,18.56,18560000
osnia And Herzegovina,18.54,18540000
Luxembourg,17.46,17460000
Guatemala,16.27,16270000
ali,15.8,15800000
Guinea,15.55,15550000
Haiti,15.07,15070000
Togo,14,14000000
arshall Islands,13.98,13980000
urkina Faso,12.23,12230000
enin,11.54,11540000
Gabon,10.9,10900000
New Zealand,9.74,9740000
ahamas,9.7,9700000
Honduras,9.55,9550000
Liberia,9.48,9480000
Congo,9.09,9090000
alta,8.85,8850000
ahrain,8.21,8210000
St itts and Nevis,7.51,7510000
Afghanistan,6.86,6860000
Republic of the Congo,6.73,6730000
Ecuador,6.72,6720000
Chile,6.18,6180000
Argentina,5.72,5720000
Seychelles,5.54,5540000
Suriname,5.42,5420000
Sierra Leone,5.29,5290000
auritius,4.9,4900000
Cuba,4.69,4690000
Venezuela,4.68,4680000
aldives,4.14,4140000
Syria,4.11,4110000
Angola,4.06,4060000
ontenegro,3.88,3880000
Equatorial Guinea,3.82,3820000
Guyana,3.53,3530000
Panama,2.67,2670000
Uganda,2.24,2240000
Rwanda,1.93,1930000
Chad,1.88,1880000
Cambodia,1.81,1810000
Eritrea,1.56,1560000
South Sudan,1.54,1540000
El Salvador,1.42,1420000
Comoros,1.32,1320000
Cape Verde,1.21,1210000
San arino,1.21,1210000
adagascar,1.05,1050000
Iceland,1.03,1030000
Zimbabwe,969.54,969540
Laos,826.83,826830
Uruguay,805.26,805260
Central African Republic,784.41,784410
Trinidad And Tobago,754.07,754070
New Caledonia,626.84,626840
elize,496.08,496080
Niger,457.34,457340
olivia,393.97,393970
otswana,380.6,380600
Paraguay,372.81,372810
Nicaragua,332.54,332540
Namibia,316.25,316250
Fiji,192.71,192710
Guinea issau,171.49,171490
Papua New Guinea,149.68,149680
runei,131.49,131490
urundi,121.4,121400
arbados,114.45,114450
Zambia,96.68,96680
Andorra,80.57,80570
Jamaica,74.95,74950
alawi,71.89,71890
Grenada,68.76,68760
Dominica,67.09,67090
Antigua and arbuda,45.5,45500
Palau,41.59,41590
French Polynesia,36.4,36400
Faroe Islands,34,34000
Cayman Islands,19.06,19060
Sao Tome And Principe,11.13,11130
ermuda,9.95,9950
hutan,9.88,9880
North orea,7.71,7710
Greenland,6.83,6830
St Vincent and the Grenadines,4.92,4920
Guam,4.86,4860
Aruba,1.27,1270
