Ukraine Exports By Country,1Value,Value,
China,7.12,7120000000,
Poland,3.28,3280000000,
Russia,2.71,2710000000,
Turkey,2.44,2440000000,
Germany,2.07,2070000000,
India,1.97,1970000000,
Italy,1.93,1930000000,
Netherlands,1.81,1810000000,
Egypt,1.62,1620000000,
Belarus,1.34,1340000000,
Hungary,1.26,1260000000,
Spain,1.25,1250000000,
Romania,1.08,1080000000,
United States,988.39,988390000,
Czech Republic,826.69,826690000,
Indonesia,735.63,735630000,
Saudi Arabia,709.94,709940000,
Moldova,680,680000000,
United ingdom,667.35,667350000,
France,599.01,599010000,
Iraq,597.89,597890000,
Austria,580.31,580310000,
Israel,563.5,563500000,
Belgium,561.18,561180000,
Bulgaria,511.87,511870000,
United Arab Emirates,450.99,450990000,
Slovakia,446.65,446650000,
Lithuania,432.12,432120000,
Tunisia,414.82,414820000,
Morocco,372.97,372970000,
Georgia,365.77,365770000,
angladesh,358.21,358210000,
Algeria,352.53,352530000,
South orea,351.52,351520000,
Azerbaijan,347.54,347540000,
Kazakhstan,336.98,336980000,
Pakistan,331.2,331200000,
Libya,328.22,328220000,
Lebanon,327.23,327230000,
Uzbekistan,296,296000000,
Iran,258.84,258840000,
Portugal,233.97,233970000,
Latvia,229.44,229440000,
Denmark,217.05,217050000,
Vietnam,184.26,184260000,
Japan,183.66,183660000,
Malaysia,181.09,181090000,
Jordan,181.08,181080000,
Greece,178.88,178880000,
Yemen,172.72,172720000,
Philippines,169.9,169900000,
Thailand,164.52,164520000,
Switzerland,142.85,142850000,
Ethiopia,140.09,140090000,
Serbia,136.66,136660000,
Qatar,131.61,131610000,
Singapore,123.1,123100000,
Armenia,112.47,112470000,
Estonia,110.82,110820000,
Ireland,94.37,94370000,
Oman,85.47,85470000,
Dominican Republic,84.46,84460000,
Senegal,82.53,82530000,
Ghana,81.55,81550000,
Canada,81.4,81400000,
Macedonia,80.75,80750000,
Kenya,77.95,77950000,
Costa Rica,74.25,74250000,
Sweden,72.51,72510000,
Hong ong,71.19,71190000,
Nigeria,69.32,69320000,
Mexico,69.31,69310000,
Sudan,65.87,65870000,
Brazil,64.26,64260000,
Turkmenistan,57.3,57300000,
Finland,54.58,54580000,
Peru,52.52,52520000,
Cameroon,51.87,51870000,
Kyrgyzstan,43.03,43030000,
Australia,42.45,42450000,
Ivory Coast,42.42,42420000,
Mauritania,42.17,42170000,
Slovenia,40.29,40290000,
yanmar,38.53,38530000,
uwait,36.34,36340000,
Sri Lanka,35.6,35600000,
Tanzania,34.83,34830000,
Cyprus,31.82,31820000,
South Africa,30.11,30110000,
Albania,29.8,29800000,
Colombia,29.67,29670000,
Croatia,29.6,29600000,
ozambique,27.15,27150000,
Norway,27.02,27020000,
Palestine,26.21,26210000,
Tajikistan,24.12,24120000,
ongolia,23.12,23120000,
Nepal,22.99,22990000,
Djibouti,22.08,22080000,
Gambia,20.5,20500000,
Somalia,18.56,18560000,140800800
Bosnia And Herzegovina,18.54,18540000,
Luxembourg,17.46,17460000,
Guatemala,16.27,16270000,
Bali,15.8,15800000,
Guinea,15.55,15550000,
Haiti,15.07,15070000,
Togo,14,14000000,
Marshall Islands,13.98,13980000,
Burkina Faso,12.23,12230000,
Kenin,11.54,11540000,
Gabon,10.9,10900000,
New Zealand,9.74,9740000,
Bahamas,9.7,9700000,
Honduras,9.55,9550000,
Liberia,9.48,9480000,
Congo,9.09,9090000,
Others,1,140800800,
