Month,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
January,"320,76","400,59","499,66","640,86","864,91",1112,1521,1665,1916,2297,2722,3000,3167,3455,4362,6008,7711,9223,10727
February,"328,70","391,20","510,06","666,76","904,62",1142,1633,1723,1955,2338,2799,3044,3209,3633,4585,6209,7828,9429,10847
March,"354,81","415,49","545,07","722,01","986,65",1230,1702,1818,2109,2531,2923,3212,3415,3863,4920,6752,8382,10237,11446
April,"355,78","422,58","547,90","733,73","984,29",1224,1735,1845,2107,2533,2942,3233,3432,3998,4895,6659,8480,10269,10430
May,"358,88","439,26","554,96","764,29","1002,88",1277,1774,1851,2201,2573,3015,3253,3430,4042,4984,6840,8725,10239,10542
June,"377,41","476,16","601,45","823,10","1063,59",1368,1883,1980,2373,2708,3109,3380,3601,4299,5337,7360,9141,10783,11579
July,"398,10","489,50","607,97","837,45","1078,86",1421,1930,2008,2367,2749,3151,3429,3537,4390,5374,7339,9170,10971,11804
August,"390,07","479,16","604,19","831,06","1073,10",1398,1872,1919,2280,2694,3073,3304,3370,4205,5202,7114,8977,10537,11446
September,"391,14","498,27","630,82","856,02","1086,58",1426,1916,1964,2349,2737,3064,3261,3481,4343,5358,7351,9042,10687,11998
October,"397,49","498,34","636,21","882,10","1088,07",1475,1917,1950,2322,2729,3110,3283,3509,4532,5350,7377,9218,10727,12174
November,"395,70","489,52","644,27","896,58","1103,90",1485,1823,1955,2353,2727,3098,3268,3534,4498,5406,7479,9161,10679,11987
December,"442,91","550,92","703,77","1019,71","1277,06",1675,2001,2233,2629,3054,3377,3619,4012,5230,6475,8777,10573,12264,14179
